"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-05-12 00:00:00,43.363393889,949.318608056,238.069906944,54.358089722,117.630972778,290.999255833,949.318608056,15.489584444,27.873809444,-245.773213889,584379925168.999910000,3802858867965.999800000,3339862856134.999900000,237.237131111,52.995000556,116.813588056,290.335004722,28.314815556
2014-05-11 00:00:00,43.362288056,945.235954444,237.852151389,54.354381667,116.608820000,290.270411944,945.235954444,15.488478611,27.873809444,-244.733751389,582148628218.000050000,3782916790328.999700000,3335542484751.999900000,237.019375556,52.997609444,115.791439444,289.607278333,28.312523056
2014-05-10 00:00:00,43.361255278,941.578154722,237.634011111,54.350496111,115.981934444,289.632459722,941.578154722,15.487445833,27.873809444,-243.690772222,579931551633.000010000,3762971104460.999900000,3331222112056.000200000,236.801235278,52.999583333,115.164568056,288.970878889,28.310510278
2014-05-09 00:00:00,43.360291667,937.969649444,235.850349167,54.347251944,115.441632500,289.243635833,937.969649444,15.486482222,27.873809444,-242.646443056,577728257131.000040000,3743016682699.999800000,3326901737835.000100000,235.017573611,53.002824167,114.624270833,288.584962500,28.306976111
2014-05-08 00:00:00,43.359316667,932.843123333,234.155727500,54.343885278,114.795293333,288.446647500,932.843123333,15.485507222,27.873809444,-241.601942500,575507918822.999950000,3723039083077.999900000,3322581364933.999700000,233.324357500,53.006385833,113.979166667,287.790785833,28.303509444
2014-05-07 00:00:00,43.358311667,928.731262500,232.218631667,54.340481111,114.620150556,287.943241944,928.731262500,15.484502222,27.873809444,-240.555134444,573289823281.999940000,3703066076240.000100000,3318260992328.000000000,231.389013056,53.009407778,113.805571389,287.290485833,28.299988889
2014-05-06 00:00:00,43.357029722,923.804940833,230.270656111,54.335341389,114.028641111,287.191643333,923.804940833,15.483220278,27.873809444,-239.511520278,571073743789.000030000,3683100543299.000200000,3313940619347.000100000,229.442193056,53.011151944,113.214099444,286.540962222,28.296073889
2014-05-05 00:00:00,43.356240278,920.051247222,228.441959167,54.332071389,113.676645833,286.284090000,920.051247222,15.482430833,27.873809444,-238.468413056,568860350950.000040000,3663124073600.000100000,3309620245292.999700000,227.616468333,53.014532222,112.862539722,285.636078333,28.292615833
2014-05-04 00:00:00,43.355588889,916.472468611,228.437160000,54.327977500,113.158401389,285.089901944,916.472468611,15.481779444,27.873809444,-237.415442778,566633521452.000020000,3643140592626.000000000,3305299872062.000000000,227.617266944,53.016573056,112.344301111,284.443912778,28.290908333
2014-05-03 00:00:00,43.354944167,912.406689444,228.431973889,54.323459722,112.508796389,283.852155833,912.406689444,15.481134722,27.873809444,-236.367042500,564408885373.999950000,3623159678216.999700000,3300979500576.000200000,227.618334444,53.018801111,111.694696944,283.207214167,28.289067500
2014-05-02 00:00:00,43.356917778,908.048976667,226.834653611,54.321273611,111.784442222,282.527825556,908.048976667,15.483108333,27.873809444,-235.319236111,562187323419.999950000,3608926096507.999800000,3294297211779.000100000,226.023568333,53.025246111,110.970420833,281.883870000,28.288417222
2014-05-01 00:00:00,43.356408333,903.384593333,225.195765278,54.318538611,111.236828056,282.031392500,903.384593333,15.482598889,27.873809444,-234.257602778,559963615401.000020000,3594505742386.000100000,3287113929714.999700000,224.386625833,53.028166389,110.424514722,281.389253056,28.285694722
