"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-05-20 00:00:00,150.046862500,576.564844722,382.571006944,11.067155833,171.766893333,148.724743333,576.564844722,142.873390833,7.173471667,-225.242052500,852852820407.999990000,4609424066180.999800000,3097795233389.999800000,-45.757683056,43.604698889,112.581763889,-164.784636944,317.486006944
2014-05-19 00:00:00,150.051325556,571.419144444,381.691475556,10.737057500,168.752593333,148.671286944,571.419144444,142.879419722,7.171905833,-224.322984444,850585619236.999980000,4589521174222.999800000,3093474797085.999800000,-45.748797500,43.567255278,109.578228611,-165.092186944,316.630639722
2014-05-18 00:00:00,150.053752778,566.038416944,381.670632222,10.713874167,166.337319722,148.640410556,566.038416944,142.884565556,7.169187222,-223.398143889,848314558452.999940000,4569621155658.000100000,3089154362261.999800000,-45.739740833,43.566183611,107.162955000,-165.089897500,316.639026667
2014-05-17 00:00:00,150.057440000,560.879431111,381.651894722,10.691869722,163.908877500,148.581490833,560.879431111,142.889700833,7.167739167,-222.477437778,846065663647.000070000,4549713539394.999700000,3084833925641.000200000,-45.731000278,43.533866667,104.744253889,-165.088221389,316.648030833
2014-05-16 00:00:00,150.062840556,556.388271389,380.554817778,10.036941111,156.830035278,148.561403056,556.388271389,142.897128889,7.165711667,-221.525149722,843833681473.999970000,4529920437922.999800000,3080413194070.000000000,-45.717048611,43.540958333,97.678772500,-165.723520000,315.579376111
2014-05-15 00:00:00,150.072435556,552.029139444,378.872219722,8.785100278,148.741509167,148.524146944,552.029139444,142.907261944,7.165173611,-220.565689722,841495058988.000030000,4514423942572.000000000,3071994445928.999700000,-45.181393611,43.524568333,89.632451944,-166.965213611,313.922528889
2014-05-14 00:00:00,150.079945556,546.752241389,377.387918889,7.937068056,142.301363611,148.512870000,546.752241389,142.916178333,7.163767222,-219.614697778,839184798042.000050000,4501962462203.999700000,3060297985157.999900000,-44.312172778,43.546197500,83.210491667,-167.791821667,312.454472778
2014-05-13 00:00:00,150.084977500,545.532887500,375.511036111,7.858233056,139.688014167,148.414663333,545.532887500,142.922258889,7.162718611,-218.678585556,836834533427.999970000,4490781642490.000100000,3048895858514.000100000,-43.344992500,43.480502222,80.975534167,-167.825376944,310.588009722
2014-05-12 00:00:00,143.883163333,541.699672222,375.479664167,7.227628056,133.821708056,148.266420278,541.699672222,136.756038889,7.127124444,-217.798987778,834537065660.000080000,4480604632978.000000000,3036444039628.000200000,-42.456450556,43.356876944,75.239951667,-168.420018333,310.575133889
2014-05-11 00:00:00,143.887852778,536.660831944,373.570517500,7.162464167,132.222725278,147.925764167,536.660831944,136.761691944,7.126160833,-216.965983611,832317237305.000060000,4460701956886.000000000,3032123604192.000000000,-42.447496667,43.034713889,73.651905556,-168.477332500,308.676306944
