"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-08-27 00:00:00,149.722134167,923.430572500,528.295367222,52.869600556,288.240584722,172.898220000,923.430572500,142.415926389,7.306207778,-309.543900000,1080425755271.999900000,6464366907335.000000000,3638945624595.999700000,-58.431211389,66.145184722,227.108506389,-124.406231667,461.769306667
2014-08-26 00:00:00,149.725121944,919.255782222,524.804496667,52.848939722,288.219941944,172.877748056,919.255782222,142.419675833,7.305446111,-308.704478333,1078195508420.999900000,6444489041924.999900000,3634625197172.999900000,-58.424261944,66.142332778,227.104586944,-124.408835833,458.278438333
2014-08-25 00:00:00,149.726910556,917.632238333,521.806448611,52.827215556,287.095649167,172.850041944,917.632238333,142.423659722,7.303250833,-307.861760833,1075975758154.000000000,6424610403301.999500000,3630304768858.000000000,-58.417245000,66.133220000,225.995469722,-124.409457222,455.280565833
2014-08-24 00:00:00,149.728303889,913.692447778,518.751740556,52.804424722,287.072031111,172.829499167,913.692447778,142.426817222,7.301486667,-307.033582222,1073698581968.999900000,6404723279285.000500000,3625984340978.999700000,-58.411076389,66.134730556,225.990376389,-124.411522222,452.225864167
2014-08-23 00:00:00,149.730336389,908.526125278,515.834532778,52.784113889,284.487156111,172.809792222,908.526125278,142.430689444,7.299646944,-306.200670556,1071423723403.999900000,6384834622388.999400000,3621663916771.000000000,-58.403667222,66.137365000,223.419677500,-124.408707500,449.308823889
2014-08-22 00:00:00,149.731870000,904.558221389,513.555355556,52.762842222,283.769584722,172.769385833,904.558221389,142.433456667,7.298413333,-305.375573889,1069122097461.999900000,6364939507835.999700000,3617343494782.999700000,-58.397395000,66.111390556,222.719557222,-124.409579167,447.040940833
2014-08-21 00:00:00,149.733282222,900.154675000,510.892685000,52.741283889,283.749556111,172.748493889,900.154675000,142.436370000,7.296912222,-304.551870000,1066810071280.000000000,6345042516664.999700000,3613023070687.000100000,-58.391508056,66.110586111,222.719187222,-124.411505278,444.378328889
2014-08-20 00:00:00,149.734782222,895.983604167,508.429493889,52.719851667,283.375260000,172.718888056,895.983604167,142.439395000,7.295387222,-303.725745278,1064503972155.999900000,6325147548382.999800000,3608702644265.999700000,-58.385644444,66.095089167,222.363784444,-124.412941944,441.915465833
2014-08-19 00:00:00,149.735611111,891.039429722,505.834317778,52.697054167,283.354352222,172.689227778,891.039429722,142.442449722,7.293161389,-302.901707778,1062191367145.999900000,6305257151660.000000000,3604382217067.999800000,-58.379641389,66.081025000,222.363947222,-124.415074167,439.320366111
2014-08-18 00:00:00,149.736511111,886.774801667,503.282602778,52.673639722,283.333060000,172.663074444,886.774801667,142.445686944,7.290824167,-302.068348056,1059888855662.000000000,6285369685777.000100000,3600061787149.000100000,-58.373620000,66.072828889,222.364153889,-124.417503333,436.768891389
2014-08-17 00:00:00,149.736329167,882.605069444,500.440217778,52.649283333,283.310863333,172.635865556,882.605069444,142.449085833,7.287243333,-301.236263333,1057589340976.999900000,6265484322116.999600000,3595741359887.999800000,-58.367895833,66.064816667,222.364688611,-124.419636389,433.926511111
2014-08-16 00:00:00,149.737757222,877.458844722,497.739279167,52.626011944,283.289941389,172.609942778,877.458844722,142.452654722,7.285102500,-300.405610278,1055286409742.999900000,6245598215326.999400000,3591420938183.000000000,-58.361647222,66.056722222,222.365179444,-124.422279722,431.225625000
2014-08-15 00:00:00,149.738390556,872.618386111,494.927672778,52.602688611,283.268892222,172.583193611,872.618386111,142.455631944,7.282758611,-299.569241111,1052997011354.999900000,6225713439549.000200000,3587100512336.000200000,-58.356181111,66.047379444,222.365743056,-124.424743333,428.414204167
2014-08-14 00:00:00,149.739651944,867.039906944,492.203403611,52.469060833,283.249204722,172.546306667,867.039906944,142.458779167,7.280872778,-298.730088056,1050712168496.000000000,6205820581272.000000000,3582780087246.999700000,-58.349769444,66.025335833,222.366500278,-124.541838889,425.692198333
2014-08-13 00:00:00,149.741627222,864.109037222,488.702863611,52.446660833,283.229493611,172.517641389,864.109037222,142.462268056,7.279359167,-297.890143333,1048449731853.999900000,6185935371103.999600000,3578459663907.999900000,-58.342388333,66.012068889,222.367669444,-124.544427778,422.191676944
2014-08-12 00:00:00,149.742850833,859.253794167,486.337215000,52.424347778,283.209228889,172.488929167,859.253794167,142.465349167,7.277501667,-297.063473889,1046157549939.000000000,6166044814155.000400000,3574139238169.999700000,-58.336052500,65.998937778,222.367738889,-124.547154444,419.826488611
2014-08-11 00:00:00,149.745976944,854.605658333,482.739917500,52.404464167,282.800987500,172.460086111,854.605658333,142.469013056,7.276963889,-296.224008056,1043882132782.000000000,6146164659041.999500000,3569818809664.000200000,-58.328768333,65.983211111,221.977794167,-124.548985833,416.229191111
2014-08-10 00:00:00,149.747179167,851.910129722,480.201083889,52.382653611,282.781486944,172.423986111,851.910129722,142.472114722,7.275064444,-295.389863611,1041600229051.000000000,6126269694598.000000000,3565498382118.999900000,-58.322168889,65.959862222,221.978565556,-124.551517222,413.690390833
2014-08-09 00:00:00,149.749028889,847.431655556,478.259330833,52.361795000,282.762735000,172.399139444,847.431655556,142.474728333,7.274300556,-294.556915833,1039299268096.999900000,6106372212124.999700000,3561177958317.000200000,-58.315826111,65.949366667,221.978866111,-124.554450278,411.748730556
2014-08-08 00:00:00,149.750960278,842.807525556,475.825736111,51.973615833,282.744000833,172.374743333,842.807525556,142.477788333,7.273171944,-293.719376111,1037018393354.000000000,6086464171617.000100000,3556857530971.000100000,-58.309433889,65.944061389,221.979692500,-124.926779167,409.315194444
2014-08-07 00:00:00,149.754624167,840.319835833,470.557376944,51.538225833,282.294236667,172.358590000,840.319835833,142.482134444,7.272489722,-292.888088889,1034747834344.999900000,6066549413273.999600000,3552537106279.000000000,-58.301641389,65.951925278,221.548197500,-125.346023611,404.046835278
2014-08-06 00:00:00,149.758052222,838.140562778,468.266936111,51.520699167,280.476258333,172.343159722,838.140562778,142.487460000,7.270592222,-292.010210833,1032375438198.000000000,6050682127856.999600000,3544284440415.999800000,-57.648400278,65.966866944,219.754990000,-125.343973333,401.765089444
2014-08-05 00:00:00,149.762571667,833.923679722,465.960490000,51.507361944,278.665099722,172.329436389,833.923679722,142.492739722,7.269831944,-291.169075833,1030093139833.000000000,6037075268859.000200000,3534105137146.999800000,-56.669730000,65.978551389,217.974033333,-125.343063889,399.460781111
2014-08-04 00:00:00,149.765485278,829.670914722,462.216826944,51.478354722,276.975236389,172.293303611,829.670914722,142.496773611,7.268711667,-290.312568889,1027856330449.000000000,6017184719118.000200000,3529784697982.000100000,-56.662655556,65.954836111,216.300230833,-125.352390000,395.717118056
2014-08-03 00:00:00,149.766666944,826.657466389,459.987711389,51.339983056,276.956082222,172.240194722,826.657466389,142.499432222,7.267234722,-289.455858333,1025579998518.999900000,5997284203459.000500000,3525464259401.999700000,-56.656427500,65.910901389,216.301282222,-125.473323333,393.496275556
2014-08-02 00:00:00,149.767362500,823.015028056,459.855410000,51.317521944,276.936460556,172.190446667,823.015028056,142.501428889,7.265933611,-288.605026944,1023301878659.999900000,5977373569569.000000000,3521143819452.999800000,-56.650623889,65.875004444,216.301501111,-125.477297778,393.384120833
2014-08-01 00:00:00,149.768077222,819.265129444,459.704320833,50.326133333,276.631128611,171.998860833,819.265129444,142.503648611,7.264428611,-287.751504722,1021049284962.999900000,5957461060777.000100000,3516823382943.000100000,-56.644331111,65.689575833,216.014274444,-126.460096389,393.253630000
2014-07-31 00:00:00,149.768830278,814.892083611,459.611608889,49.798759167,275.867748333,171.756766667,814.892083611,142.506015278,7.262815000,-286.907501111,1018801290446.999900000,5937678237762.000500000,3512214882131.000100000,-56.635651667,65.449097500,215.270549444,-126.974002222,393.184361944
2014-07-30 00:00:00,149.770376111,811.033783056,458.779208056,48.408837500,275.513634444,171.251950278,811.033783056,142.508888333,7.261487778,-286.091752500,1016572974197.999900000,5918984287723.000000000,3505999610486.999700000,-56.554302500,64.947343611,214.929123056,-128.359831389,392.372568333
2014-07-29 00:00:00,149.773208056,807.058153611,457.003132222,47.940205278,272.952248333,171.030147778,807.058153611,142.512674167,7.260533889,-285.360672222,1014368758094.000000000,5899085057546.000400000,3501679172556.999900000,-56.547006389,64.726774167,212.381329444,-128.813806667,390.610300000
2014-07-28 00:00:00,149.773993056,802.829678611,454.269871667,46.624514167,270.229993889,170.846550556,802.829678611,142.517247778,7.256745278,-284.535690000,1012139033764.999900000,5879227744550.000400000,3497315193342.999800000,-56.539288889,64.548760556,209.674289167,-130.120856111,387.891690000
2014-07-27 00:00:00,149.775524167,798.682705556,453.006285278,46.186116667,270.208695278,170.468908333,798.682705556,142.519448056,7.256076111,-283.628958056,1009860805867.999900000,5859321371152.000400000,3492994756949.999900000,-56.532517778,64.173621389,209.669567222,-130.548655000,386.642041389
2014-07-26 00:00:00,149.776459722,794.976065000,451.683408056,45.939446111,270.186799444,169.901743333,794.976065000,142.521711389,7.254748333,-282.720140000,1007589449414.000000000,5839415371723.999900000,3488674319431.999900000,-56.526070833,63.610321111,209.665133889,-130.781687222,385.329930556
2014-07-25 00:00:00,149.777881111,792.921315556,451.667386944,44.637510556,270.167842222,169.726148611,792.921315556,142.523972500,7.253908611,-281.805601667,1005332742639.999900000,5821264272996.000000000,3482742298046.000000000,-56.393212778,63.440872222,209.661653333,-132.074733333,385.333761111
2014-07-24 00:00:00,149.781312500,791.258851667,448.637908056,42.961995556,268.726914167,169.563279167,791.258851667,142.528347500,7.252965000,-280.884501389,1003097110361.000000000,5801366707005.000100000,3478421874413.999900000,-56.385305278,63.279583333,208.233426111,-133.747456389,382.314713611
2014-07-23 00:00:00,149.782528333,787.524925833,448.620537222,41.880182500,267.169594444,169.466663056,787.524925833,142.531419444,7.251108889,-280.058965556,1000787013803.000000000,5781452233682.999600000,3474101451758.999800000,-56.378735833,63.190120833,206.688695278,-134.820444722,382.321923333
2014-07-22 00:00:00,149.786132500,783.889135556,448.605624722,40.624437500,264.012909722,169.196307222,783.889135556,142.536023333,7.250109167,-279.294083333,998471287003.000020000,5761591964249.999500000,3469724011248.000200000,-56.365361389,62.920561111,203.543098333,-136.071881389,382.333052778
2014-07-21 00:00:00,149.787513333,781.804876944,448.372253056,40.068435833,263.992343333,168.920673056,781.804876944,142.539665833,7.247847500,-278.691727500,996128748332.999940000,5741678925326.999400000,3465403576970.999800000,-56.359151389,62.649196667,203.542980833,-136.617394444,382.122307500
2014-07-20 00:00:00,149.791050278,778.413984444,445.871981389,39.600650556,263.971718333,168.538176389,778.413984444,142.544496389,7.246553889,-278.094042778,993785660045.999880000,5721775152858.999900000,3461083141263.999900000,-56.351966111,62.267240556,203.542801944,-137.071408333,379.633845000
2014-07-19 00:00:00,149.795096944,776.879103889,444.933017500,39.247407500,262.908733611,168.117100000,776.879103889,142.549514444,7.245582500,-277.474501944,991403535787.000060000,5705575813209.999700000,3452306305293.999900000,-56.115140000,61.855266667,202.492920833,-137.404536389,378.706915000
2014-07-18 00:00:00,149.799666667,773.066991111,443.097703333,38.815431667,260.489377222,167.968656944,773.066991111,142.555163056,7.244503611,-276.582258333,989021943677.000040000,5690493478902.000100000,3443085268578.000000000,-55.611015833,61.720660000,200.083048889,-137.824023333,376.880529722
2014-07-17 00:00:00,149.803123611,770.057308056,441.378249167,38.013757222,259.228118889,167.917739444,770.057308056,142.559830000,7.243293611,-275.716842500,986697479876.000040000,5679842691203.000500000,3429723678687.000200000,-54.828865000,61.690226389,198.868961111,-138.609757222,375.170625000
2014-07-16 00:00:00,149.808357222,767.013466111,439.129672500,36.897783611,256.443278056,167.786273333,767.013466111,142.565720278,7.242636944,-274.864326111,984375692235.000010000,5664308509855.999900000,3421638111829.000100000,-54.314054722,61.569437778,196.095201111,-139.710481389,372.935061389
2014-07-15 00:00:00,149.812337500,762.674830556,437.784280833,36.020601667,252.948013889,167.764760000,762.674830556,142.570617500,7.241720000,-274.002541667,982117724192.000030000,5651282711540.000400000,3410596544882.000000000,-53.654233333,61.581895833,192.612966667,-140.572313056,371.597587500
2014-07-14 00:00:00,149.816072500,758.988890000,436.446000556,35.254373333,250.018435833,167.661188333,758.988890000,142.575271667,7.240800833,-273.193334444,979893404220.000020000,5636892959244.999800000,3400965081570.000000000,-53.166835833,61.511644167,189.695049167,-141.329135833,370.284681667
2014-07-13 00:00:00,149.817413611,755.100948611,434.420483611,34.381964167,249.995935833,167.100947778,755.100948611,142.578388889,7.239024722,-272.395496111,977671234981.999990000,5616988406081.999500000,3396644646725.999700000,-53.159984167,60.956661667,189.692518333,-142.187273611,368.266614444
2014-07-12 00:00:00,149.820314444,750.791847500,432.569911667,34.327310556,248.321883889,166.321055278,750.791847500,142.582198056,7.238116389,-271.498094722,975442748895.000100000,5597090522014.000400000,3392324207943.000100000,-53.151998889,60.176909722,188.034164722,-142.224540556,366.420380000
2014-07-11 00:00:00,149.823265000,746.895894444,432.536279722,33.761341944,244.189171111,166.029996944,746.895894444,142.586365556,7.236899444,-270.606561389,973206347713.999980000,5579983391820.000400000,3385583407031.999800000,-52.931576111,59.901298333,183.909976111,-142.779133056,366.410447222
2014-07-10 00:00:00,149.826330556,744.671619167,429.319341667,32.890198056,242.398938056,165.417761667,744.671619167,142.590993056,7.235337500,-269.692237500,970982465404.000040000,5560095772604.999500000,3381262972200.999800000,-52.923891667,59.291457500,182.125496111,-143.636292500,363.205394167
2014-07-09 00:00:00,149.829115278,741.769401111,429.302872500,32.737898056,241.024906111,164.591665278,741.769401111,142.594225833,7.234889444,-268.791167778,968683627246.999970000,5540193721818.000000000,3376942534078.999700000,-52.917197778,58.468325278,180.764401389,-143.770210556,363.212289167
2014-07-08 00:00:00,149.830969722,739.102581389,428.172149444,32.436321111,241.006016667,163.810321944,739.102581389,142.597115833,7.233853889,-267.908625556,966374853268.000000000,5520286658776.999700000,3372622099465.000000000,-52.911052500,57.687513611,180.765521111,-144.054602778,362.100721667
