"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-09-17 00:00:00,43.440734444,1370.591433889,296.839749167,54.938591389,160.593649444,424.678368333,1370.591433889,15.566921667,27.873812778,-377.427414444,867683002212.000130000,6065105288636.000100000,4098046939204.999800000,295.522836667,52.867287500,159.655308056,423.799299722,28.542660000
2014-09-16 00:00:00,43.439712778,1365.898325000,296.288799444,54.934706667,160.086935556,422.381441111,1365.898325000,15.565900000,27.873812778,-376.428410556,865493010376.000040000,6045113826627.000500000,4093726556725.999700000,294.976685000,52.870527500,159.149353333,421.504356944,28.539878611
2014-09-15 00:00:00,43.438726111,1360.689206667,295.184023889,54.930818333,160.071500556,420.125398056,1360.689206667,15.564913333,27.873812778,-375.425221389,863301326478.000040000,6025121922710.000200000,4089406175102.000200000,293.875448333,52.873690833,159.135128611,419.250269722,28.536926111
2014-09-14 00:00:00,43.437914444,1355.264944444,295.179260278,54.926600000,159.977137222,417.579001389,1355.264944444,15.564101667,27.873812778,-374.424631111,861112086240.999930000,6005116242452.000300000,4085085793133.000100000,293.876549444,52.876066389,159.041833889,416.706021667,28.534880278
2014-09-13 00:00:00,43.436907500,1350.505080278,295.174753611,54.922694444,159.574916389,414.521486944,1350.505080278,15.563094722,27.873812778,-373.435073611,858939456236.999980000,5985129080788.999700000,4080765412918.999700000,293.878226667,52.879230833,158.640614167,413.649503889,28.532578333
2014-09-12 00:00:00,43.435686111,1345.815361111,294.023763889,54.919149444,159.492224444,412.209861667,1345.815361111,15.561873333,27.873812778,-372.451463611,856769888501.000040000,5965157284026.000400000,4076445031104.000200000,292.729313889,52.882504444,158.558820000,411.338947500,28.529300278
2014-09-11 00:00:00,43.434439167,1341.013878889,293.009884722,54.915613333,159.325271389,410.070248889,1341.013878889,15.560626389,27.873812778,-371.463055000,854593328264.000050000,5945186821940.000000000,4072124647989.000000000,291.716517778,52.885653333,158.392613889,409.201490000,28.526230278
2014-09-10 00:00:00,43.433418889,1335.698398889,291.963552222,54.911984722,159.258322778,407.295080833,1335.698398889,15.559606111,27.873812778,-370.463431389,852413538093.999980000,5925200876234.999800000,4067804265896.999800000,290.674060000,52.888953056,158.326884444,406.427013611,28.523006667
2014-09-09 00:00:00,43.432460833,1331.430409722,291.103848611,54.907826389,159.056838333,405.278442222,1331.430409722,15.558648056,27.873812778,-369.455438611,850233341480.000010000,5905216853932.000300000,4063483882542.999900000,289.817895833,52.891916111,158.125872778,404.410425278,28.520403889
2014-09-08 00:00:00,43.431819167,1326.761240000,291.055067778,54.903392222,158.844175278,403.619348611,1326.761240000,15.558006389,27.873812778,-368.454490556,848048603490.000000000,5885222256164.000000000,4059163498547.999800000,289.774524167,52.893932778,157.913237778,402.752624722,28.518610000
